Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,
Jai Kisan,2017,Mumbai,Fintech,A platform that caters the need of customers in rural areas,"Arjun Ahluwalia, Adriel Maniego","Arkam Ventures, Nabventures","$3,937,000",Pre series A,
Agro2o,,New Delhi,Agritech,It develops products focused on making hydroponics-based farming,Yash Vyas,Mumbai Angels Network,Undisclosed,,
LetsTransport,2015,Bangalore,Logitech,Offers techno logistics solutions,"Pushkar Singh, Sudarshan Ravi, Ankit Parasher",Stride Ventures,"$1,313,500",,
GabbarDeals,,Pune,Ecommerce,Online-to-Offline platforms for mobile phones & accessories,"Niraj Raka, Poonam Gugale, Piyush Raka",Venture Catalysts,Undisclosed,,
Crimson Healthcare,2015,Delhi,Med Tech,It innovates cutting edge solutions for various problems in the healthcare system,"Pranav Chopra, Neeraj Kumar",Mumbai Angels Network,"$229,800",,
Biomoneta,,Bangalore,Life sciences,It develops germicidal technologies,Dr Janani Venkatraman,"Beyond Next Ventures, ArthaVida Ventures, Dr Aniruddha Malpani",Undisclosed,Seed Round,
Edvizo,,Bangalore,Edtech,"Online marketplace to search, compare and enrol in the best institutes for competitive exam preparation",Ravi Nishant,Inflection Point Ventures,"$150,000",Seed Round,
Servify,,Mumbai,SaaS,Operates device management and support platform,Sreevathsa Prabhakar,"Iron Pillar, Blume Ventures","$11,370,000",Series C,
Drum Food,,Mumbai,Food,It runs yoghurt brand Epigamia,"Rohan Mirchandani, Ganesh Krishnamurthy, Rahul Jain,Uday Thakkar.","Danone Manifesto, Mousse Partners","$5,305,000",,
Innoviti,2002,Bangalore,SaaS,Digital payments solutions company,Rajeev Agrawal,"Entrepreneurial Development Bank, Bessemer Venture Partners",Undisclosed,Series C,
Jiffy ai,2018,,AI,Enterprise automation startup,Babu Sivadasan,Nexus Venture Partners,"$18,000,000",Series A,
Postman,2014,,Tech,API development platform startup,"Abhijit Kane, Abhinav Asthana, Ankit Sobti",Insight Partners,"$150,000,000",Series C,
F5,2018,,Retail Aggregator,It provides opportunities for its partner vendors to upsell and cross-sell their products.,"Raghav Arora, Lalit Kumar Aggarwal",Venture Catalysts,Undisclosed,,
Waycool,2015,Chennai,Agritech,Food development and distribution services,"Karthick Jayraman, Sanjay Dasari",Induslnd Bank,"$5,500,000",Series C,
Myelin Foundry,2019,,Deep Tech AI,"It builds AI based algorithms on video, voice and sensor","Dr Gopichand Katragadda, Ganesh Suryanarayanan, Aditi Olemann.",Pratithi,Undisclosed,,
Ameliorate Biotech,,Bangalore,Biotech,"Their products address the needs in Early Stage Diagnostics, Bio-Similars and Nutraceuticals.","Dr Binita Shrivastava Tunga, Dr Rashbehari Tunga","PadUp, Villgro USA, Vinners, LetsVenture, SINE IIT Bombay, DERBI","$264,000",Angel Round,
Hapramp,2018,Gurugram,Blockchain,Startup working on technologies like blockchain and social media,"Shubhendra Vikram, Ankit Kumar",Anand Mahindra,"$1,000,000",,
MyKaam,2016,Bangalore,HrTech,Online job searching and recruiting platform,Ashish Gupta,"Dr Apoorva Ranjan Sharma, Mrunal Jhaveri, Nirav Panchmatia, Vikas Kapoor, Karan Garg",Undisclosed,,
HealthPlix,2016,Bangalore,Healthtech,It provides clinical software for doctors,"Raghuraj Sunder Raju, Prasad Basavaraj, Sandeep Gudibanda","JSW Ventures, Chiratae Ventures, Kalaari Capital","$6,000,000",Series B,
YoloBus,2019,Gurugram,Mobility/Transport,Intercity bus service startup,"Shailesh Gupta, Mukul Shah",Nexus Venture Partners,"$3,300,000",Series A,
iNurture Education,,,Edtech,"It provides a conducive and healthy teaching, learning environment",Ashwin Ajila,Kimera Ltd,"$4,000,000",,
Pocket52,2017,Bangalore,Gaming,An online poker playing platform,Nitesh Salvi,Gameskraft,"$1,750,000",Series A,
QuaQua,2016,Hyderabad,Travel,Virtual travel guide platform,"Purav Shah, Sandesh Reddy",Anthill Ventures,"$1,000,000",,
Crofarm,2016,Delhi,Agritech,Supply chain that supports farmers and provides businesses with freshest produce,"Prashant Jain, Varun Khurana",Smile group,"$1,000,000",,
Timios,,Bangalore,Foodtech,Provides healthy snacks for kids,Aswani Chaitanya,Rangsons Technologies,Undisclosed,Pre series A,
Wooden Street,2015,Jaipur,Ecommerce,It enables to order custom furniture online,"Lokendra Ranawat, Dinesh Pratap Singh, Virendra Ranawat, Vikas Baheti",IAN Fund,"$3,000,000",Series A,
BankBazaar,2008,Chennai,Fintech,Online marketplace that gives customers instant customised offers on loans and credit cards,"Adhil Shetty, Arjun Shetty, Rati Shetty,",WSV Capital,"$5,967,000",Series D1,
Rentmojo,2012,Bangalore,Rental,"Rental platform for furniture, appliances & electronics",Geetansh Bamania,"Gautam Dalmia, Pratithi Investment Trust, Shri Investment","$2,980,000",,
Credgencies,2018,,AI & Debt,Tech-enabled platform for resolution of non-performing assets,"Rishabh Goel, Anand Agrawal, Mayank Khera",Titan Capital,Undiclsosed,Seed Round,
Knorish,,Delhi,SaaS/Edtech,All-in-one knowledge commerce SaaS platform,"Kinner N Sacchdev, Rakhi Wadhwa",100x VC,"$323,000",Pre series A,
LetsTransport,2015,Bangalore,Logitech,Offers techno logistics solutions,"Pushkar Singh, Sudarshan Ravi, Ankit Parasher",Black Soil,"$1,326,000",,
Vahak,2017,,Transport,It enables logistic companies to conncet with transporters,"Karan Shaha, Vikas Chandrawat","Leo Capaitals, Amit Gupta, Abhishek Goyal, Ramakant Sharma, Harsh Pokhran",Undisclosed,Seed Round,
Nutrova,2013,Mumbai,Nutrition,"Nutraceutical company developing evidence-based nutrition and nutraceutical products,",Akshay Pai,DSG Consumer Partners,Undisclosed,Pre series A,
Cube Wealth,2018,Mumbai,SaaS,A digital wealth management services,"Satyen Kothari, Beenext, Asuka Holding","Beenext, Asuka Holding","$500,000",Mid series,
IVF Access,2019,Bangalore,Healthtech,It provdes IVF treatments,"Naresh Rao, Nikhil Rajmohan, Harinath Chakravarthy, Pravin Sethuraman",Vertex Ventures SEA & India,"$5,000,000",Series A,
Hoi Foods,2017,Delhi,Foodtech,Quality food solution,Indrajeet Roy,Crowd Fund,"$2,000,000",Pre series A,
Ola Financial Services,,Bangalore,Fintech,It operates Ola Money,Bhavish Aggarwal,Matrix Partners,"$27,000,000",Series A,
Awifs,2015,Delhi,Co-working,Provides office space solutions,Amit Ramani,"Bisque Limited, Link Investment Trust.","$5,200,000",,
Dunzo,2014,Bangalore,Logistics,India-based hyperlocal delivery startup,"Kabeer Biswas,  Mukund Jha, Dalvir Suri, Ankur Aggarwal",Undisclosed,"$55,000,000",,
Swiflearn,2019,Gurugram,Edtech,Learning platform for K-10 students looking for personalised learning,"Abhinav Agarwal, Anand Bakode","Stellaris Venture Partners, Venture Highway",Undisclosed,Seed Round,
Remedo,2017,Delhi,Healthtech,The platform connects doctors with patients,"Dr Ruchir Mehra, Harsh Bansal, Richeek Arya",River Rock Ventures. Inflection Point Ventures,Undisclosed,Pre series A,
Blowhorn,2014,Bangalore,Logistics,Tech platform that connects logistics service seekers with mini-truck drivers,"Mithun Srivatsa, Nikhil Shivaprasad",Trifecta Capital,Undisclosed,,
Toch,,Mumbai,AI,"Helps online video creators, media companies, advertisers, and OTT platforms optimise their videos","Vinayak Srivastav, Saket Dandotia, Alok Patil","Chinaccelerator, 9 Unicorns Fund, Inflection Point Ventures","$1,000,000",Pre series A,
Gram Cover,,Noida,Insurtech,It provides insurance products in rural areas,Jatin Singh,"EMVC, Flourish, Omidyar Network India",Undisclosed,Pre series A,
Coin DCX,2018,Mumbai,Cryptocurrency,Hybrid crypto exchange platform,"Sumit Gupta, Neeraj Khandelwal",Polychain Capital,"$2,500,000",,
HomeCapital,,Mumbai,Fintech,Home Down Payment Assistance Program,Lalit Menghani,Varanium NexGen Fund,Undisclosed,,
Euler Motors,,Delhi,Automotive tech,Startup focusses on electric vehicles,Saurav Kumar,Inventus III India Fund,"$2,530,000",Series A,
Riskcovry,2018,Mumbai,Insurtech,Offers various insurance products,"Suvendu Prusty, Sorabh Bhandari, Chiranth Patil.","Bharat Inclusion Seed Fund, Varanium Capital, and Better Capital",Undisclosed,Pre series A,
NWNT (No Worry No Tension Healthcare),,Delhi,Healthtech,Mental healthtech startup,Sandeep Vohra,Amit Burman,Undisclosed,Pre series A,
Voicezen,,Gurugram,AI,Conversational AI startup,Anurba Nath,Bharti Airtel,Undisclosed,,
Leap Club,,Gurugram,,Community led professional network for women,"Ragini Das, Anand Sinha","Whiteboard Capital, FirstCheque, Artha India Ventures, Sweta Rau, Deepak Abbot, Amrish Rau, Harpreet Singh Grover","$340,000",Pre seed round,
Credit Mantri,2012,Chennai,Fintech,Offers free credit score and a detailed credit analysis report,"Gowri Mukherjee, Ranjit Punja, Rajasundaram Sudarshan","IDG Ventures, Elevar Equity, Accion","$792,000",,
Xtracap,,Gurugram,Fintech,"Offers online payment solution,schemes, order management, insurance etc.,",Mohammed Riaz,Angel Investors,"$1,000,000",,
Tring,2019,Mumbai,Media,Celebrity engagement platform,"Akshay Saini, Rahul Saini, Pranav Chabhadia","Kalyan Krishnamurthy, Sujeet Kumar, Keshav Sanghi, Roman Saini, Sumit Jain, Hemesh Singh",Undisclosed,,
Vakilsearch,2010,Chennai,Legal,"Online platform for legal, tax and compliance services",Hrishikesh Datar,Sujeet Kumar,Undisclosed,,
Khatabook,,Bangalore,Fintech,It helps SMEs to maintain their accounts and ledger online.,Ravish Naresh,B Capital Group,"$60,000,000",Series B,
LendingKart,2014,Ahmedabad,Fintech,Provides working capital loans and business loans to MSMEs,"Harshvardhan Lunia, Mukul Sachan","Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient","$11,363,000",Series D,
Illumnus,,,Edtech,Offers Collaborative learning management system for educational institutions,"Akash Deep Singhal, Akshaya Singhal",Angel investors. HNI,"$100,000",Seed Round,
LetsTransport,2015,Bangalore,Logitech,Offers techno logistics solutions,"Pushkar Singh, Sudarshan Ravi, Ankit Parasher",Innoven Capital,"$1,715,000",,
Eggoz,2017,Bihar,Agritech,"Provides technology backed, deep integration services to egg farmers",Uttam Kumar,"Tracxn Labs, Angellist, Tri-Deep Capital","$329,000",Seed Round,
Winuall,2018,Bangalore,Edtech,It helps coaching institutes in digitization,Ashwini Purohit,"Ankit Bhati, Nitin Gupta",Undisclosed,,
Indian School Finance Company,,Hyderabad,Fintech,NBFC that provides funding to education system,,Gray Matters Capital,"$5,271,000",Seed Round,
Juicy Chemistry,2014,,,It focuses on organic based skincare products,Pritesh Asher,Akya Ventures,"$650,000",Series A,
DeepTek,2018,Pune,Healthtech,AI enabled radiology platform,"Amit Kharat, Ajit Patil, Aniruddha Pant",GHV Accelerator,Undisclosed,,
Stepathlon Lifestyle,2012,Mumbai,Fitness,It organises corporate wellness programs,"Krishnan, Shane Bilsborough","Josh Liberman, Mark Adams",Undisclosed,,
Sindhuja Microcredit,2018,Noida,Fintech,It provides financial services to self employed women entrepreneurs,"Abhisheka Kumar, Malkit Didyala",Nordic Microfinance Initiative,"$8,700,000",,
Rentmojo,2012,Bangalore,Rental,"Rental platform for furniture, appliances & electronics",Geetansh Bamania,"Chiratae Ventures, Accel Partners, BCIP Venture Associates, Bain Capital, Renaud Laplanche","$3,226,000",,
Tesco Charge Zone,,Gujarat,EV,Operates electric vehicle charging zone,Kartikey Hariyani,Mumbai Angels Network,Undisclosed,,
Intello Labs,2016,Gurugram,"Supply chain, Agritech",Standardisation and Quality control of fruits & vegetables,"Milan Sharma, Nishant Mishra, Himani Shah, Devendra Chandani",Saama Capital,"$5,900,000",Series A,
SirionLabs,2012,Gurugram,SaaS,"Provides procurement, outsourcing services & contract management software",Ajay Agrawal,"Tiger Global, Avatar Growth Capital","$44,000,000",Series C,
Magicpin,2015,Gurugram,,"It is a local discovery, rewards, and commerce platform","Anshoo Sharma, Brij Bhushan",Lightspeed Venture Partners,"$3,879,000",,
GroCurv,2019,Gurugram,B2B,"It offers a wide range of business related services like Branding, marketing, sales etc.,","Venkatesh Rangachari, Vipul Gupta",Unicorn Investments Pte Ltd,Undisclosed,Seed Round,
Refrens,2019,Bangalore,SaaS,"Offers a free invoicing, payments and expense management system","Naman Sarawagi, Mohit Jain","Vijay Shekhar Sharma, Anupam Mittal","$1,000,000",Seed Round,
Shiprocket,2017,,Logitech,Tech enabled logistics aggregator,Saahil Goel,"Tribe Capital, Innoven Capital, BII","$13,000,000",Series C,
Spyne,,Gurugram,AI,Helps online businesses with visual content,"Sanjay Kumar, Deepti Prasad","Angellist, Smile Group, Manish Amin, Anil Goel, Anubhav Sonthalia, Deepak Mittal",Undisclosed,Pre series A,
Nykaa,2012,Mumbai,Ecommerce,Deals in cosmetic and wellness products,Falguni Nayar,Steadview capital,"$8,800,000",,
Docsapp,2015,Bangalore,Healthtech,Online doctor consultation app,Satish Kannan,"Bessemer Venture Partners India, Fusian Capital, Rebright Partners, Milliways Fund LLC","$9,500,000",,
Phable,2018,,Healthtech,"It creates an engagement loop between doctors, hospitals, and patients via its app","Sumit Sinha,  Mukesh Bansal",Inflection Point Ventures,"$1,000,000",Pre series A,
Generic Aadhaar,,,Pharma,It provides a platform for entrepreneurs to access generic  medicine at low cost,Arjun Deshpande,Ratan Tata,Undisclosed,,
Nium,,,Fintech,Open global money platform,Prajit Nanu,"VisaVentures, BRI Ventures",Undisclosed,,
Mintoak,,Mumbai,Fintech,Merchant payment solutions startup,"Raman Khanduja, Sanjay Nazareth",Pravega Ventures,"$2,000,000",Pre series A,
VestSpace,2018,Pune,Spacetech,It builds small satellite paltforms,Arun Kumar Sureban,Next Capital,"$10,000,000",,
Blackbuck,2015,Bangalore,Logistics,Provides trucking services,Rajesh Yabaji,Trifecta Venture,Undisclosed,,
Vernacular ai,2016,Bangalore,AI,It offers Multiligual AI platform,"Gupta, Akshay Deshraj, Manoj Sarda","Exfinity Ventures, IAN Fund","$5,100,000",Series A,
Clover,,Bangalore,Agritech,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,"Avinash BR, Gururaj Rao, Arvind Murali, Santhosh Narasipura",Alteria Capital,"$920,000",,
Varthana,,Bangalore,Fintech,Offers secured and unsecured loans,Steve Hardgrave,ChrysCapital,"$15,000,000",Series D,
Codeninja,2016,Bangalore,SaaS,AI-powered 'no-code' platform which can generate application development code,"Prashanth Kuppur, Deepak Kalhan, Saurabh Kukreti, Richpal Gora","Hari Balasubramanian, EaSyndicate",Undisclosed,Seed Round,
MetaMerphoSys,2016,Pune,Insurance technology,Digital insurance platform for businesses,"Amit Naik, Kewal Vargante",Good Capital,Undisclosed,Pre series A,
Rooter,2016,Delhi,Gaming,Live sports engagement platform,"Piyush, Dipesh Agarwal","Paytm, leAD Sports, Rockstud Capital, Founder Bank Capital","$1,700,000",Pre series A,
Aker Foods,2019,Pune,Foodtech & Logistics,Ai driven supply chain platform,Suraj Saste,Mumbai Angels Network,Undisclosed,,
Sascan Meditech pvt ltd,2015,Kerala,Healthtech,They are developing technology that can detect early cancerous cells,Dr Subhash Narayanan,Unicorn India Ventures,Undisclosed,,
DailyHunt,2009,,Media,News aggregator,Virendra Gupta,Lupa India,"$35,600,000",,
Pratilipi,2014,Bangalore,Media,A digital platform that connects readers and writers in various languages,"Ranjeet Pratap Singh, Sankaranarayanan Devarajan, Sahradayi Modi, Rahul Ranjan, Prashant Gupta",Tencent,"$9,400,000",Series C,
Biryani By Kilo,,Delhi,Food,Online paltform to order biryani,Vishal Jindal,"Devanshu Dolat Desai, Anand M Khatau, Debasish Priyadarshi Purohit, Kaushik Shanghvi","$790,000",Series B,
Consure Medical,,Delhi,Healthtech,"Novel platform technologies to manage, diagnose, and treat various GI disorders","Nishith Chasmawala, Amit Sharma","Accel Partners, Jungle Ventures","$480,000",,
Servify,,Mumbai,,It is a technology company which serves as a platform for brands to offer end-to-end solutions to their users,Sreevathsa Prabhakar,Barkawi,"$250,000",,
Tessol,,Mumbai,Logistics,It provides end to end cold chain logistics solutions,Rajat Gupta,1Funds Domestic Scheme,"$160,000",Series A,
Remedo,,Noida,Healthtech,"It helps doctors engage with patients, improve patient experience",Harsh Bansal,RiverRock Ventures,Undisclosed,Pre series A,
News Reach,2018,Ahmedabad,Media,"It is a platform that digitalises local newspaper publishers, reporters, stringers by aggregating their content",Darshan Shah,Mumbai Angels Network,Undisclosed,,
RoomSoom,2016,Noida,Housing,It provides co-living and student rooms,"Nitin Agrawal, Garima Agrawal",Mumbai Angels Network,Undisclosed,,
Pedagogy,2015,,Edtech,It has a single subscription model that allows users to access books and digital courses.,"Archin Shah, Abhilash Sonwane, Ritesh Gandhi",Inflection Point Ventures,"$400,000",,
Classplus,2008,Delhi,Edtech,"It provides mobile-first software for coaching institutes, tuition centres and private tutors","Mukul Rustagi, Bhaswat Agarwal",RTP Global,"$8,200,000",Series B,
Medlife,2014,Bangalore,Pharmaceutical,It solves inadequacies in the healthcare delivery system through technology,"Tushar Kumar, Prashant Singh",Hero Fincorp,"$15,500,000",,
Qin1,,Noida,Edtech,It is alearning platform for kids in the age group 5 to 14 yrs,"Ishan Gupta, Aarti Gupta",Venture Catalysts,Undisclosed,,
MYSUN,2015,Delhi,Tech,Platform for rooftop solar energy solutions,"Gagan Vermani, Divyanshu Sachdev, Gyan Prakash Tiwari",Undisclosed,"$4,257,000",Pre series A,
ShopX,2015,Bangalore,Ecommerce,B2B retail operating system,"Amit Sharma, Apoorva Jois",Li and Fung,"$1,410,000",,
Sarva,,,Yoga & wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,Sarvesh Shashi,"Mantra Capital, Patni Family",Undisclosed,,
